name,price,mileage,kerb_weight,length,width,height,wheel_base,ground_clearance,seat_height,engine_cc,num_cylinder,max_power,max_torque,valves,fuel_delivery,starting_mech,num_gears,wheel_size,battery
Hero Splendor Plus,"66,943 ",70 Kmpl,110 kg,1970 mm,720 mm,1040 mm,1230 mm,159 mm,785 mm,97.2 cc,1,7.91 bhp @ 8000 rpm,8.05 Nm @ 6000 rpm,2,Fuel-Injection ,Kick Start ,4 Gears,18 inches,12V- 3 Ah MF 
Hero HF Deluxe,"53,754 ",83 Kmpl,109 kg,1965 mm,720 mm,1045 mm,1235 mm,165 mm,805 mm,97.2 cc,1,7.94 bhp @ 8000 rpm,8.05 Nm @ 6000 rpm,2,Fuel Injected ,Kick Start ,4 Gears,18 inches,"12 V - 3 Ah , MF Battery "
Honda SP 125,"81,617 ",65 Kmpl,117 kg,2020 mm,785 mm,1103 mm,1285 mm,160 mm,790 mm,124 cc,1,10.7 bhp @ 7500 rpm,10.9 Nm @ 6000 rpm,4,PGM-FI ,Self / Kick ,5 Gears,18 inches,"12V, 5.0Ah "
Honda CB Unicorn 160,1.04 Lakh,62 Kmpl,134 kg,2045 mm,757 mm,1062 mm,1324 mm,150 mm,N/A,162.7 cc,1,13.82 bhp @ 8000 rpm,13.92 Nm @ 6000 rpm,2,Carburetor ,Self / Kick Start ,5 Gears,17 inches,12V 4Ah 
Hero HF Deluxe i3s,"64,833 ",88.5 Kmpl,110 kg,1965 mm,720 mm,1045 mm,1235 mm,165 mm,805 mm,97.2 cc,1,8.24 bhp @ 8000 rpm,8.05 Nm @ 5000 rpm,2,Carburetor ,Self / Kick Start ,4 Gears,18 inches,"12 V - 3 Ah , MF Battery "
Royal Enfield Bullet 350,1.35 Lakh,45 Kmpl,183 kg,2170 mm,810 mm,1120 mm,1395 mm,135 mm,800 mm,346 cc,1,19.1 bhp @ 5250 rpm,28 Nm @ 4000 rpm,2,Fuel Injection ,Kick Start ,5 Gears,19 inches,"12 volt, 5 Ah "
Kawasaki Ninja 300,3.16 Lakh,26 Kmpl,179 kg,2015 mm,715 mm,1110 mm,1405 mm,135 mm,785 mm,296 cc,2,38 bhp @ 11000 rpm,27 Nm @ 10000 rpm,4,Fuel Injection ,Self Start ,6 Gears,17 inches,Maintenance Free 
KTM RC 200,2.16 Lakh,35 Kmpl,137 kg,1978 mm,688 mm,834 mm,1340 mm,178 mm,820 mm,199.5 cc,1,25 bhp @ 10000 rpm,19.2 Nm @ 8000 rpm,4,Fuel Injection System ,Self Start ,6 Gears,17 inches,12V/8Ah 
TVS Ntorq 125,"75,263 ",60 Kmpl,118 kg,1865 mm,710 mm,1160 mm,1285 mm,155 mm,N/A,124.8 cc,1,9.1 bhp @ 7000 rpm,10.5 Nm @ 5500 rpm,3,Carburetor ,Self / Kick Start ,N/A,12 inches,"12 V, 4Ah MF "
Kawasaki Ninja H2R,80.39 Lakh,15 Kmpl,216 kg,2070 mm,851 mm,1161 mm,1450 mm,130 mm,831 mm,998 cc,4,322 bhp @ 14000 rpm,165 Nm @ 12500 rpm,4,Fuel injection: ø50 mm x 4 with dual injection ,Self Start ,6 Gears,17 inches,Maintenance Free 
Honda Dio,"67,994 ",55 Kmpl,107 kg,1808 mm,723 mm,1150 mm,1260 mm,160 mm,650 mm,109.2 cc,1,8 bhp @ 8000 rpm,9 Nm @ 4750 rpm,2,Fuel Injection ,Self / Kick Start ,N/A,10 inches,12V 3Ah (MF) 
Hero Passion Pro i3S,"71,681 ",84 Kmpl,115 kg,1980 mm,765 mm,1075 mm,1235 mm,165 mm,795 mm,110 cc,1,9.02 bhp @ 7500 rpm,9.79 Nm @ 5000 rpm,2,Carburetor ,Self / Kick Start ,4 Gears,18 inches,12V - 3 Ah (MF Battery) 
Bajaj Pulsar 150,"99,128 ",65 Kmpl,144 kg,2055 mm,755 mm,1060 mm,1320 mm,165 mm,785 mm,149 cc,1,13.8 bhp @ 8000 rpm,13.4 Nm @ 6000 rpm,2,Fuel injection ,Self / Kick Start ,5 Gears,17 inches,12 V Full DC 
Yamaha FZ S V3.0 FI,1.1 Lakh,N/A,148 kg,1990 mm,780 mm,1080 mm,1330 mm,165 mm,790 mm,149 cc,1,12.2 bhp @ 7250 rpm,13.6 Nm @ 5500 rpm,2,Fuel Injection ,Self Start ,5 Gears,17 inches,12V 
Honda CB Shine SP,"71,042 ",65 Kmpl,120 kg,2007 mm,762 mm,1085 mm,1266 mm,160 mm,N/A,124.7 cc,1,10.16 bhp @ 7500 rpm,10.3 Nm @ 5500 rpm,2,Carburetor ,Self / Kick Start ,5 Gears,18 inches,12V 3Ah (MF) 
Hero Super Splendor,"74,118 ",60 Kmpl,123 kg,2042 mm,740 mm,1102 mm,1273 mm,180 mm,785 mm,124.7 cc,1,10.73 bhp @ 7500 rpm,10.6 Nm @ 6000 rpm,2,Fuel Injection ,Self / Kick Start ,4 Gears,18 inches,12 V 3Ah MF 
Honda Activa 5G,"61,036 ",45 Kmpl,109 kg,1761 mm,710 mm,1158 mm,1238 mm,153 mm,765 mm,109.2 cc,1,8 bhp @ 7500 rpm,9 Nm @ 5500 rpm,2,Carburetor ,Self/ Kick Start ,N/A,10 inches,12V 3Ah (MF) 
TVS Apache RTR 160 4V,1.14 Lakh,30 Kmpl,143 kg,2050 mm,790 mm,1050 mm,1357 mm,180 mm,800 mm,159.7 cc,1,16.28 bhp @ 8000 rpm,14.8 Nm @ 6500 rpm,4,Fuel Injection ,Self/ Kick Start ,5 Gears,17 inches,"12V, 9Ah "
Yamaha Fascino,"61,629 ",66 Kmpl,103 kg,1815 mm,675 mm,1120 mm,1270 mm,130 mm,775 mm,113 cc,1,7 bhp @ 7500 rpm,8.1 Nm @ 5000 rpm,2,Carburetor ,Self / Kick Start ,N/A,10 inches,"12V, 5 AH(10 H) "
UM Motorcycles Renegade Commando,1.74 Lakh,35 Kmpl,179 kg,2257 mm,780 mm,1140 mm,1545 mm,200 mm,750 mm,279.5 cc,1,24.8 bhp @ 8500 rpm,23 Nm @ 7000 rpm,4,Fuel Injection ,Self Start ,6 Gears,16 inches,Maintenance Free 
Yamaha FZ25,1.65 Lakh,43 Kmpl,153 kg,2015 mm,775 mm,1075 mm,1360 mm,160 mm,795 mm,249 cc,1,20.5 bhp @ 8000 rpm,20.1 Nm @ 6000 rpm,2,Fuel Injection ,Self Start ,5 Gears,17 inches,12 V 6.0 Ah 
TVS Jupiter,"70,216 ",62 Kmpl,109 kg,1834 mm,678 mm,1286 mm,1275 mm,150 mm,765 mm,109.7 cc,1,7.3 bhp @ 7000 rpm,8 Nm @ 5000 rpm,2,Fuel Injection ,Self / Kick Start ,N/A,12 inches,"12V, 5 Ah Flooded "
